,source,sentence1,sentence2,labels.label
2546,korsts_train,"1년 전 분기에, 철강회사는 11억 4천만 달러의 매출로 주당 15센트인 1620만 달러의 이익을 기록했다.",작년 2분기에 AK 스틸은 주당 15센트인 1620만 달러의 이익을 보고했다.,2.9
2547,korsts_train,"나스닥은 금요일에 1,520.15로 마감하면서 주당 17.27, 즉 1.2퍼센트의 상승률을 보였다.","기술위주의 나스닥 종합지수 .ixic은 30.46포인트 즉 2.04퍼센트가 상승하여 1,520.15를 기록했다.",2.0
2548,korsts_train,사람들을 예약에 계속 두는 것은 뻔뻔한 협박이었다.참석했지만 지명되기를 원하지 않는 공화당 원이 말했다.,그것은 협박에 대한 뻔뻔한 시도였습니다.라고 회의에 참석한 공화당 의원이 말했다.,2.2
2549,korsts_train,혐의는 발표되지 않았지만 성명은 월요일에 법적 절차가 있을 것으로 예상된다고 말했다.,FBI의 성명서는 월요일 볼티모어 연방법원에서 법적 절차가 예상된다고 밝혔다.,2.3
2551,korsts_train,"기술 중심의 나스닥 주식시장 종합지수는 14.17포인트 즉 0.94퍼센트 오른 1,517.05를 기록했다.",기술주로 가득한 나스닥 종합지수는 최근 약 18포인트 상승했다.,2.3
2552,korsts_train,"그러나 FBI는 알바유미에 대한 정보를 결코 보관하지 않았다.그가 사우디의 대리인이라는 정보를 받았음에도 불구하고, 그 문서는 말했다.",그러나 FBI는 알 바유미에 대해 결코 감시하지 않았다. 그는 사전 정보를 받았음에도 불구하고 그는 비밀 사우디 요원이었다고 보고서는 말한다.,3.0
2553,korsts_train,"그것은 일어날 것입니다,라고 엘 몬테에 있는 팀스터 공동 협의회 42의 짐 산탄젤로 회장은 말했다.",그것은 회사에 큰 영향을 미친다.라고 엘 몬테에 있는 팀원 합동 협의회 42의 짐 산탄젤로 회장이 말했다.,2.8
2555,korsts_train,가트너 애널리스트들은 기업들이 아직 PC를 업그레이드 할 만큼 자신감을 느끼지 못하고 있다고 말했다.,"더구나, 기업들은 구형 PC를 대체할 만큼 자신감을 느끼지 못하고 있다고 애널리스트 회사는 말했다.",3.1
2556,korsts_train,"화요일 현재, 거의 250명의 의료 종사자들이 격리되어 있다.","게다가, 6,800명의 사람들이 격리되었고 수천명의 의료 종사자들이 일하는 격리에 있었다.",2.0
2557,korsts_train,"브라이언 브라바존은 그의 아들이 화가 났지만, 돌아서서 그의 조롱꾼들과 친구가 될 것이라고 말했다.",그녀의 아들은 화가 났을 것이라고 그의 어머니는 말했다.하지만 돌아서서 그의 조롱하는 사람들과 친구가 되었다.,3.2
2558,korsts_train,"기술주식시장 종합지수는 1.16포인트 오른 1,504.04를 기록했다.",기술주로 가득한 나스닥 종합지수는 최근 약 18포인트 상승했다.,1.9
2559,korsts_train,"기술에 의해 만들어진 나스닥 종합지수는 0.08포인트 하락한 1,646을 기록했다.","기술에 기반한 나스닥 종합지수 <.ixic>는 1,647.94로 1.92포인트, 즉 0.12%를 추가했다.",3.0
2560,korsts_train,"그는 배심원단이 ""차가워서 계산하는 살인자""라고 말했다.","지방 검사인 데이브 루파스는 배심원들에게 스텁스가 ""차가운 계산 살인자""라고 상기 시켰습니다.",2.1
2562,korsts_train,일곱 번째 희생자인 한 여성은 화요일 밤 애크런의 어린이 병원 의료 센터에서 화상 치료실에서 사망했다.,"일곱 번째 사람, 21살의 여성은 애크런 어린이 병원의 화상 치료실에서 위독한 상태에 있었다.",3.0
2563,korsts_train,말라위 정보 당국자들은 익명을 전제로 이 남자들이 전세 항공 말라위 비행을 통해 인근 보츠와나로 즉시 날아갔다고 말했다.,이 남자들은 말라위 항공편으로 인근 보츠와나로 날아갔다고 관계자들은 말했다.,3.2
2566,korsts_train,발송 메일은 이 시스템이 비즈니스 전용 사용을 허용하기 위해 설정될 수도 있다고 말했습니다.,"발송 메일에 따르면, 제품은 비즈니스 전용으로 사용할 수 있도록 지시할 수 있습니다.",3.0
2567,korsts_train,이 공격은 서비스 팩 3과 4가 있는 패치되지 않은 Windows 2000 시스템에서 작동합니다.,카운터 패널과 아이 디펜스 모두 이 공격이 서비스 팩 3과 4를 실행하는 윈도우 2000 시스템에 효과적으로 작용한다고 주장한다.,2.3
2568,korsts_train,"더 나아가, 10년 만기 기준점인 US10yt = RR은 25/32의 가격을 하락시켜 수익률을 3.17퍼센트에서 3.26퍼센트로 끌어올렸다.","수요일 초, 10년 만기 기준점인 10년 만기 = RR은 16/32의 가격 하락을 기록하여 화요일 말 3.26퍼센트에서 최대 3.33%의 수익률을 기록했다.",3.0
2571,korsts_train,Ernst & Young은 어떠한 잘못도 부인했고 그 혐의와 싸울 계획이다.,"Ernst & Young은 Sec의 주장을 부인하고 권고안을 ""무책임한""것으로 불렀습니다.",1.8
2572,korsts_train,군사적 조치도 대규모 뇌물도 북한 문제를 해결할 수 없다고 울포위츠는 말했다.,"실제로, 울포위츠는 토요일 군사 행동이나 ""대규모 뇌물""이 이 문제를 해결하지 못할 것이라고 인정했다.",3.2
2573,korsts_train,운전사인 유진 로저스는 버스에서 아이들을 제거하는 것을 도왔다고 우드는 말했다.,"사고 현장에서 운전자는 ""피로 덮여 있었지만""아이들을 제거하는 데 도움이 되었다고 우드는 말했다.",2.5
2575,korsts_train,뉴욕 증권 거래소의 거래에서 뉴스 중단이 정오 이후에 부과되기 전에 가이던트의 주식이 폭락했다.,뉴욕 증권 거래소의 오후 거래에서 가이던트 주식은 40.92달러로 5.3% 하락했다.,1.9
2576,korsts_train,10월 3주는 워싱턴 DC 지역 저격 사건이 시작된 지 거의 1년 후인 월요일에 판매됩니다.,Moose의 책은 Washington 지역에서 저격 사건이 시작된 지 거의 1년이 지난 월요일에 판매된다.,3.0
2577,korsts_train,"가계에 대한 별도의 조사에 따르면, 8월에 실업률은 6.2퍼센트에서 6.1퍼센트로 떨어졌다.",노동부 분석가들은 8월에 6.2퍼센트에서 6.1퍼센트로 떨어진 국가 실업률의 약간의 개선을 할인했다.,1.8
2579,korsts_train,판사는 9월 29일 재판 날짜를 연기하는 것도 거부했다.,오버스는 9월 29일 재판일을 연기하는 국방신청도 부인했다.,2.3
2580,korsts_train,"야당들은 반레트로바이러스 치료에 대한 내각의 결정을 환영했지만, 일부 사람들은 만토 차발랄라-미망 보건부 장관이 롤아웃 계획을 주재할 수 없다고 말했다.","일부 야당에 따르면, 보건부 장관 만토-차발랄라 MSimang은 항레트로바이러스 치료 롤아웃 계획을 주재하기에 적합하지 않다고 한다.",3.0
2581,korsts_train,최고 판매 책임자는 상품의 구매 및 개발을 감독하고 회사의 판매 방향을 결정하거나 기본적으로 무엇을 의미해야하는지 결정합니다.,그 또는 그녀는 회사의 상품화 방향 또는 기본적으로 무엇을 의미해야 하는지를 결정합니다.,2.8
2584,korsts_train,"7월 10일, 32명의 싱가포르 경찰관 팀이 바그다드로 보내졌습니다.",7월 32일 싱가포르 경찰관들이 이라크 경찰을 훈련시키는 것을 돕기 위해 바그다드로 보내졌고 지난 달에 귀국했다.,2.8
2585,korsts_train,유로화 <유어 =>는 1.18달러를 넘는 세션에서 3개월 만에 최고치로 오른 후 달러 대비 0.67% 상승한 1.1784달러를 기록했다.,미국 초기 거래에서 유로화 <유어 =>는 1.1860달러의 4개월 최고치로 오른 후 0.6% 하락한 1.1741달러를 기록했다.,2.8
2587,korsts_train,"무장한 전국 학생 단체를 포함한 캠페인 단체들의 연합은 시위를 지지하고 있는데, 이 시위는 NLC가 그들을 금지하는 법원 명령에 반항한다고 주장했다.",무장한 전국 학생 단체를 포함한 캠페인 단체들의 연합은 그 행동을 지지하고 시위를 위해 동원하고 있다.,2.0
2588,korsts_train,이 회사는 새로운 메인프레임을 통해 .net 및 j2ee 지원이 기업 애플리케이션 환경(EAE)에 추가되는 것을 강조하고 있다.,SAPP는 또한 .net과 J2ee 지원을 엔터프라이즈 애플리케이션 환경 개발 도구 세트에 추가하고 있다고 말했다.,1.9
2589,korsts_train,"1971년 에 징병된 이후, 그것은 393명의 사망자와 함께 기록적인 45건의 사고를 냈다.",그것은 668명의 사망자를 낸 47건의 사고를 포함하여 수표로 작성된 안전 기록을 가지고 있다.,1.9
2591,korsts_train,글러버는 희생자들의 친척 20여명이 참여한 기자회견에서 말했다.,희생자들의 가족 20여명이 기자회견에 초대되었다.,2.8
2592,korsts_train,6월에도 기소된 네 명의 다른 남자들은 이미 유죄를 인정했다.,피고인 중 4명은 무기 혐의와 다른 혐의에 대해 유죄를 인정했다.,2.0
2593,korsts_train,"연방 정부와 지방 정부는 학교와 마찬가지로 허리케인 이자벨의 여파로 대부분 폐쇄되었고, 그 지역의 교통망의 많은 부분이 느려졌다.","허리케인 이자벨의 여파로, 학교와 많은 사업체들처럼 연방정부와 지방정부는 폐쇄되었다.",2.7
2596,korsts_train,그러나 아도라 오비 뉘즈 NAACP 주 대통령은 국가가 살인의 가능성을 고려하기 보다는 자살의 결론을 증명하려고 했을 뿐이라고 말했다.,NAACP 주 대통령인 아도라 오비 뉘즈는 주 정부가 살인 가능성을 고려하기를 거부했다고 말했다.,3.0
2597,korsts_train,운동가들은 이 모임이 기업농업이 굶주린 국가들에 생물공학 작물을 밀고 나가려는 시도라고 우려한다고 말한다.,"대신에, 그들은 이 회의가 기업 농업과 생명 공학의 이익이 새로운 시장으로 진출하려는 시도라고 우려한다.",2.5
2598,korsts_train,그들의 계약은 일요일 오전 12시 1분 대신에 수요일 오전 12시 1분에 만료될 것이라고 700 지역 연합 식품 및 상업 근로자들을 위한 조직 이사인 Rian Wathen은 말했다.,그것은 회원 자격을 격분시켰다.라고 연합 식품 및 상업 노동자 700명의 조직 이사인 Rian wathen이 말했다.,2.1
2600,korsts_train,"Oklahoma 가스와 전기는 약 14,000명의 고객이 이 지역에 전력이 없었다고 말했다.","약 38,000 OGE 에너지 회사 고객들은 전력이 없다고 그 회사는 웹사이트에 말했다.",2.3
2601,korsts_train,"현재, 블랑카의 미국인 남편인 로저 로렌스 스트렁크는 2월에 필리핀 정부가 발표한 살인 혐의로 기소되었다.그것은 그가 유력한 용의자라고 말한다.","현재, 블랑카의 남편인 63세의 로저 로렌스가 트레이시를 목 졸라 죽였고, 2월에 필리핀 정부가 발표한 살인 혐의로 기소되었다.",2.8
2602,korsts_train,"왕자는 시티그룹의 회장으로 남을 샌포드 ""샌디"" 와일을 대신하고 있다.",시티그룹의 글로벌 기업 및 투자은행을 이끌고 있는 프린스 는 샌포드 와일을 CEO로 대체하고 있다.,2.3
2604,korsts_train,"스팟 골드는 1000gT에서 온스당 367.90달러 / 368.60달러로 인용되었는데, 이는 2월 10일 이후 볼 수 없는 수준이다.",스팟 골드는 2월 25일 이후 볼 수 없었던 359.25 달러로 358.65 달러 / 359.15 온스 0500 GMT로 인용되었습니다.,3.0
2605,korsts_train,"캐나다에서는, 달러가 75센트(미국)를 넘어선 것을 시도하면서 다시 한 번 호황을 누릴 것이다.","캐나다에서는, 급증하는 달러가 다시 한 번 집중되어 있었고, 그것은 고군분투했고 단지 75센트(미국)를 상회하지 못했다.",2.8
2608,korsts_train,센터의 회장인 조셉 토셀라는 머리에 맞았지만 구급차로 걸어갈 수 있었습니다.,국가헌법센터의 조셉 토셀라 대통령은 머리를 맞고 무릎을 꿇었다.,1.8
2609,korsts_train,"이 보고서는 고용, 마케팅, 조달, 지역사회 재투자, 자선 기부를 바탕으로 45개의 대기업을 선정했다.","이 세 곳 중 딜러드만 고용, 마케팅, 조달, 지역 재투자 및 자선 기부에 관한 45개의 대기업을 선정한 설문 조사에 응답했습니다.",2.5
2610,korsts_train,나는 지금 내가 이야기하고 있는 사람이 규칙을 따르지 않을 수도 있는 다른 시간에 다른 사람이 될 수 있는지 모르겠다.라고 패리쉬는 말했다.,나는 지금 내가 이야기하고 있는 사람이 다른 사람이 될 수 있는지 모르겠다.라고 패리쉬는 말했다.,3.0
2612,korsts_train,1999년에 통과되었지만 결코 시행되지는 않았습니다.이 법은 술집과 레스토랑 후원자가 불을 밝히는 것을 불법으로 만들었을 것입니다.,"1999년에 통과되었지만 결코 시행되지는 않았다. 흡연법은 술집과 식당 손님들이 불을 밝히는 것을 막았지만, 개인 클럽은 규정에서 제외되었다.",2.7
2613,korsts_train,지난 해 인도네시아에서 200명 이상의 사망자를 낸 발리 나이트클럽 폭탄테러 용의자의 첫 재판이 오늘 열렸다고 스카이 뉴스가 보도했다.,발리에서 200명 이상의 사망자를 낸 10월 나이트클럽 폭탄테러의 주요 용의자 중 한 명이 월요일 빡빡한 보안 속에서 재판을 받았다.,2.3
2615,korsts_train,이라크 경찰은 오늘 바그다드 시내에서 시위대가 자신들이 뇌물을 주었다고 주장하는 일자리를 주겠다고 요구하는 경찰서를 습격한 후 발포했다.,이라크 경찰은 일자리를 요구하는 시위대가 경찰서를 습격하고 경찰관들에게 돌을 던진 후 수요일 바그다드 시내에서 총격을 가했다고 경찰은 말했다.,2.8
2616,korsts_train,"다우존스 산업평균지수인 <.dji>는 28점을 추가하여 10,557점으로 21개월 만에 최고치를 기록했다.","다우존스 산업평균지수인 <.dji>는 49포인트, 즉 0.47퍼센트 상승한 10,578을 기록했다.",2.2
2617,korsts_train,"작년 같은 분기 동안, EDS는 3억 5천 4백만 달러의 이익을 주당 72센트로 선언했다.","EDS는 1분기 손실액이 1억 2천 6백만 달러, 즉 주당 26센트라고 보고했다.",2.4
2618,korsts_train,마이크로소프트는 목요일이 28.91달러에 마감한 것에 비해 오픈 전 5% 하락한 27.45달러를 기록했다.,마이크로소프트의 주식은 나스닥 종가 28.91달러에서 시간 후 거래에서 4.7% 하락한 27.54달러로 떨어졌다.,2.6
2620,korsts_train,반군과 정부군 모두 평화 협정에도 불구하고 라이베리아의 시골에 있는 마을들을 약탈했다는 비난을 받아왔다.,테일러에게 충성하는 사람들을 포함한 반군과 정부군 모두 평화 협정에도 불구하고 라이베리아 시골의 마을들을 약탈한 혐의로 기소되었다.,2.7
2623,korsts_train,"우리는 적극적으로 호소할 것이고, 여전히 궁극적으로 입증될 것으로 기대하고 있다.","우리는 이것이 나쁜 법이라고 생각하고, 우리는 여전히 궁극적으로 입증될 것으로 기대하고 있다.",2.7
2624,korsts_train,"캔자스 법에 따르면, 16세 미만의 어린이들이 성관계를 갖는 것은 불법이다.","의견으로, 클라인은 어린 아이들이 성관계를 갖는 것은 불법이라고 언급했다.",2.1
2625,korsts_train,이 거래는 칼레보트의 소비재 판매 수익을 23%에서 45%로 늘릴 것이다.,이 거래는 칼레보트의 소비재 판매 수익을 45% 가량 확대하여 전체 판매의 약 3분의 1로 늘릴 것이다.,3.1
2626,korsts_train,"인도네시아의 군대는 감의 독립을 위한 전투 동안 인권 유린으로 종종 비난을 받아왔으며, 분리주의자들이 권리 침해를 저질렀다고 비난하면서 일반적으로 부인해 왔다.","인도네시아의 군대는 감과의 초기 전투 동안 인권 유린으로 비난을 받아왔으며, 일반적으로 부인해 왔다.",2.9
2627,korsts_train,이라크의 경제는 사담 후세인 전 대통령의 1990년 쿠웨이트 점령과 4월에 끝난 미국 주도의 전쟁에 대한 유엔 제재 기간 동안 황폐화되었다.,이라크의 경제는 사담 후세인 전 대통령과 4월에 끝난 그를 축출하기 위한 미국 주도의 전쟁으로 산산조각이 났다.,2.8
2631,korsts_train,뉴욕 증권 거래소에서 약 8대 5의 문제를 해결하는 것이 감소자들을 앞질렀다.,뉴욕 증권 거래소에서 3대 1보다 약간 더 많은 문제를 해결하는 사람들이 줄어 들었습니다.,2.8
2632,korsts_train,다음 주에 이탈리아에서 열리는 미인대회는 픽셀 완벽한 핀업을 위한 첫 번째 대회가 될 수 있다.,다음 주에 이탈리아에서 열리는 새로운 미인대회는 픽셀-완벽한 핀업으로 인해 소피아의 성 상징적 지위를 훔칠 기회를 줄 것이다.,2.5
2633,korsts_train,톰슨의 첫 번째 통화에서 나온 분석가들의 합의는 일회성 항목을 제외하고 주당 2.08달러의 손실을 기록했다.,톰슨이 처음 조사한 분석가들의 추정치는 주당 2.75달러의 손실을 초래했다.,2.9
2634,korsts_train,보잉사의 이사회는 또한 12월 회의에서 항공사들에게 판매할 비행기를 제공할지 여부를 결정할 것으로 예상된다.,항공사에 판매할 비행기를 제공하기 위해 Bair에게 정식 승인을 내릴 것으로 널리 예상됩니다.,2.1
2637,korsts_train,"1996년에 설립된 대출 나무 거래소는 200개 이상의 은행, 대출 기관 및 중개인으로 구성됩니다.","대출 트리는 인터넷을 통해 대출자와 200개 이상의 모기지 브로커, 은행 및 기타 대출 기관과 일치합니다.",1.8
2640,korsts_train,"4년제 사립대학의 등록금은 올해 평균 19,710달러로 2002년보다 6퍼센트 증가했다.","현재 학년도 동안 공립 대학의 등록금은 평균 4,694 달러로 전년도보다 거의 600 달러 증가했습니다.",3.0
2645,korsts_train,판사는 그 아이를 8월 8일 주 구금에 넣으라고 명령했다.,"8월 8일, 청소년 법원 판사 로버트 예이츠는 파커를 보호 구금에 넣으라고 명령했다.",2.7
2646,korsts_train,교도소 문에서 약 150 야드 떨어진 곳에서 기자들과 사진작가들과 함께 서 있는 것은 록랜드 카운티 순찰대원들의 자애로운 협회의 회장인 브렌트 뉴버리였다.,"전체적으로는 험난한,록 랜드 카운티 순찰대의 자비로운 협회의 회장인 브렌트 뉴 버리가 있습니다.",1.8
2647,korsts_train,"그들은 잔인하게 구타 당했고,이 사건에서 현관이 유일한 사망자라는 것은 정말 놀라운 일입니다.",이 사건에서 포치아가 유일한 사망자라는 것은 놀라운 일입니다.색스가 덧붙였다.,1.9
2650,korsts_train,직원 작가 셀윈 크로포드와 콜린 맥케인 넬슨과 달라스뉴스닷컴의 브라이언 앤더슨이 이 보고서에 기여했다.,스태프 작가 브랜든 폼비와 콜린 맥케인 넬슨이 이 보고서에 기여했다.,2.4
2652,korsts_train,검찰은 이씨에게 사형을 구형할 의사를 알리는 신청서를 제출했다.,그는 검찰이 사형을 구형할 것이라고 덧붙였다.,2.5
2653,korsts_train,"미국 마스터 : 아서 밀러, 엘리아 카잔, 블랙리스트 : 죄가 없는 사람은 없다 (결혼).","미국의 마스터시리즈, ""아서 밀러, 엘리아 카잔 및 블랙리스트 : 죄없는 사람은 없다""에서 이 끔찍한 비유의 하위 머리말에 주목하십시오.",2.4
2654,korsts_train,그 패키지에는 시의 판매세와 소득세 모두 인상이 포함되어 있었다.,그는 또한 패키지의 판매 및 개인 소득세 인상에 반대합니다.,2.7
2655,korsts_train,"그 노래들은 각각 99센트, 혹은 앨범에 9달러 99센트에 팔리고 있다.",그 회사는 99센트에 노래를 제공하고 9달러 95센트에 앨범을 제공할 것이다.,3.2
2657,korsts_train,"질레트 주식은 오후 뉴욕 증권 거래소에서 1.45 달러, 즉 4.5% 상승한 33.95 달러였습니다.",질레트의 주식은 수요일 뉴욕 증권거래소에서 33.70달러로 45센트 하락했다.,3.2
2658,korsts_train,뉴욕증권거래소에서 샌디에고에 본사를 둔 잭의 주식은 78센트 즉 3.8% 오른 21.49달러로 마감되었다.,"뉴욕증권거래소의 탬파에 본사를 둔 아웃백 스테이크하우스 주식은 44.50달러로 1.78달러, 즉 4.2퍼센트가 올랐다.",2.5
2659,korsts_train,"다우존스 산업은 12월 이후 처음으로 9,000포인트 이상으로 140포인트 이상 상승했다.","다우존스 산업은 12월 이후 처음으로 9,000점을 잠깐 넘어섰다.""",2.9
2662,korsts_train,영국 출신인 글래스고 출신의 샌디 미첼과 글래스고 태생의 윌리엄 샘슨 은 사형에 직면해 있다.,"글래스고에서 태어난 영국 시민인 커킨틸로치 , 글래스고 , 윌리엄 샘슨 의 샌디 미첼 , 44세 는 공공장소에서 참수당하고 있다.",3.2
2663,korsts_train,그는 텔레마케팅 통화의 약 80%를 차단하기 위한 서비스에 열심인 미국인들의 인내심을 촉구했다.,이 무료 서비스는 원래 텔레마케터 통화의 약 80%를 차단하기 위한 것이었다.,2.2
2664,korsts_train,원로원의 개인 변호사인 조던 그린은 아무런 언급도 하지 않았다고 말했다.,O'Brien의 변호사인 Jordan Green은 언급을 피했다.,2.5
2666,korsts_train,이 손실은 이미 7만 에이커를 검게 한 2주된 화재로 위협을 받고 있는 산타 카탈리나 산맥의 세 지역 중 하나인 버드나무 협곡에서 하룻밤 사이에 발생했다.,그 손실은 부활한 아스펜 화재로 위협받는 산타 카탈리나 산맥의 세 지역 중 하나인 버드나무 협곡에서 하룻밤 사이에 발생했다.,2.9
2667,korsts_train,우리는 대기하고 신용 카드 린치가 일어나도록 하고 싶지 않다.라고 선언되었다. 주요 오웬(d-brooklyn ).,우리는 신용 카드 린치가 일어나는 것을 보고 싶지 않습니다.그는 말했다.,2.2
2668,korsts_train,그러나 2.6.0 커널의 상업적 사용은 대부분의 고객에게 여전히 몇 달이 걸리고 있습니다.,주요 리눅스 유통업체에 의한 2.6 커널의 상업적 출시는 여전히 몇 달 남았다.,2.7
2670,korsts_train,두 명의 관리는 처음에 약 300명의 근로자들이 21개 주에 있는 61개의 상점에서 체포되었다고 말했다.,그러나 관리들은 나중에 그 숫자를 수정했고 약 250개가 약 60개의 상점에서 체포되었다고 말했다.,2.6
2674,korsts_train,마누엘 씨와 그의 그룹은 마타모로스와 브라운스빌을 잇는 다리를 건너 미국에 입국했다.,마누엘과 그의 그룹은 마타모로스와 브라운스빌 사이의 다리를 건너면서 매일 수천 명의 사람들이 하는 것과 같은 방식으로 미국에 입국했습니다.,2.7
2675,korsts_train,"NASD 규정에 따라, Mr. Young은 응답을 제출하고 NASD 패널 앞에서 청문회를 요청할 수 있습니다.",이미 메릴에 의해 보내진 분석가는 NASD 패널 앞에서 청문회를 요청할 수 있다.,2.5
2676,korsts_train,대통령은 7명의 미국인을 포함해 적어도 29명의 사망자를 낸 사우디 아라비아의 테러 공격을 인정함으로써 연설을 시작했다.,그러나 부시는 또한 다수의 미국인을 포함하여 적어도 29명을 죽인 사우디 아라비아의 테러 폭탄 테러에 대해서도 비난을 퍼부었다.,2.1
2677,korsts_train,나는 이 주의 시민들이 매우 자랑스럽다.라고 주지사.,나는 이 주의 시민들이 매우 자랑스럽다.라고 카지노의 적인 존 발다치 주지사가 말했다.,2.1
2678,korsts_train,"세 명의 주요 후보들 중에서, 슈워제네거는 무소속과 크로스오버 유권자들을 위한 전투에서 승리하고 있다.",슈왈제네거는 부스타만테보다 더 많은 무소속과 크로스오버 유권자들을 끌어들인다.,2.0
2681,korsts_train,버지니아 칸즈는 87세의 매독스가 약 10일 전 장 수술에서 회복 중인 보조생활가정에서 쓰러졌을 때 갈비뼈 두 개를 부러뜨렸다고 말했다.,1983년 이후 암과 싸웠던 매독스는 이달 초 수술 후 회복 중인 보조생활가정에 쓰러져 두 갈비뼈를 부러뜨렸다.,1.9
2683,korsts_train,"2002년, 링크시스는 시스코 시스템을 선두의 무선 장비 공급업체로 추월하여 매출의 14.1%를 차지했다.",Rolfe는 Linksys가 WLAN 장비의 선도적인 공급업체로서 작년에 시스코 시스템을 추월했다고 말했다.,2.1
2686,korsts_train,하워드씨는 또한 힉스가 시도될 수 있는 시스템에 대한 믿음을 가지고 있다고 말했다.,하워드씨는 또한 어제 힉스가 미국 사법제도에 대한 믿음을 가지고 있다고 말하면서 공정하게 대우될 것이라고 말했다.,2.0
2687,korsts_train,밴에 탄 밀수꾼들은 다른 밀수꾼들과 불법 이민자들을 태운 픽업과 SUV를 뒤쫓았다고 피날 카운티 보안관 로저 밴더풀은 말했다.,밴에 탄 사람들은 불법 이민자들을 수송하는 것으로 추정되는 픽업과 SUV에 불을 질렀다고 핀랄 카운티 보안관 로저 밴더풀이 말했다.,3.2
2688,korsts_train,125명의 증인을 대상으로 한 이 재판은 2004년 초까지 계속될 수 있다.,2004년 초까지 지속될 수 있는 이 재판은 금요일 125명의 증인 중 첫 번째 증언을 들을 것으로 예상된다.,3.0
2690,korsts_train,"이 취약성은 Windows NT 4.0, NT 4.0 터미널 서비스 에디션, XP 및 2000뿐만 아니라 Windows 서버 2003에도 영향을 미칩니다.","마이크로소프트는 Windows NT 4.0, Windows NT 4.0 터미널 서비스 에디션, Windows 2000, Windows xp 및 Windows 서버 2003에 영향을 미치는 취약성에 대한 패치를 발행했습니다.",3.0
2691,korsts_train,추가 기여로 올해 미국 식량 원조 총액이 10만 톤으로 늘어난다.,6만 톤의 기부금은 올해의 미국 기부금 총액을 10만 톤으로 끌어올린다.,2.1
2692,korsts_train,유럽연합은 1998년에 유전자 변형 식품의 수입을 금지했다; 미국은 이제 EU가 금지령을 폐지할 것을 요구하고 있다.,노조는 많은 소비자들이 건강상의 위험을 우려한 후 1998년에 유전자 변형 식품의 수입을 금지했다.,2.1
2693,korsts_train,그는 밴더풀이 향후 5년 안에 이용 가능할 것이라고 예상했다.,밴더풀을 특징으로 하는 제품들은 5년 안에 출시될 것이라고 그는 말했다.,3.2
2694,korsts_train,Annika Sorenstam은 이번 주 맥도날드 LPGA 챔피언십에서 그 목표를 시험할 첫 기회를 얻는다.,"애피타이저가 먹은, 아니카 소렌스탐은 이번주 맥도날드 LPGA 챔피언십에서 엔트리로 이적한다.",2.3
2696,korsts_train,"시스코는 at & t Corp. t.n, sbc communication inc와 비슷한 계약을 체결했다.","시스코는 벨서스 경쟁사인 SBC 통신, at & T 및 스프린트 통신과 비슷한 관계를 가지고 있습니다.",1.8
2697,korsts_train,해리스와 클레볼드는 1999년 4월 20일 자신의 목숨을 앗아가기 전에 12명의 학생과 한 명의 교사를 죽였다.,"해리스와 클레볼드는 12명의 학생, 교사 그리고 학교에서 그들 자신을 죽였다.",2.6
2698,korsts_train,우리는 미국이 이끄는 통치위원회를 비난한다.무크 타다 알 사드르는 회교 사원에서 설교를 했다.,우리는 미국이 이끄는 통치 협의회를 비난하고 비난한다.라고 moqtada al-sadr이 말했다.,2.1
2699,korsts_train,금요일에 배포된 성명서에서 28개의 체첸 비정부기구들은 투표를 거부할 것이라고 말했다.,오늘 배포된 성명서에서 28개의 체첸 비정부기구는 투표를 거부하고 유권자들에게 사기를 예상할 것을 경고했다.,3.1
2700,korsts_train,"미국 인구 조사에 따르면, 2000년의 인구는 6,080,485명입니다.","그러나 1960년에서 2000년 사이에, 주 인구는 60.4% 증가한 6,080,485명에 달했다.",1.9
2701,korsts_train,7월 18일 : 헐버트는 브라이언트에 대한 중죄 성폭행 혐의를 단 한 건도 제기했다.,"브라이언트, 24세, 중죄 성폭행 혐의로 기소되었다.",1.9
2703,korsts_train,"대신에, Weida는 미성년자의 강간, 남색, 음란한 폭행 및 미성년자에게 알코올을 제공하는 혐의로 법원에 회부해야 한다고 결정했습니다.","더글라스 미스터, 20세는 강간, 남색, 음란한 폭행, 미성년자에게 술을 제공한 혐의로 기소되었다.",2.0
2704,korsts_train,"달라스에 본부를 둔 남서부 지역은 성명에서 ""그들은 휴스턴에서 다른 항공기에서 비슷한 발견을 했다""고 말했다.",항공사는 휴스턴의 비행기에서도 비슷한 발견이 있었다고 말했다.,2.0
2705,korsts_train,"로젠탈은 화요일 가렛 상황에 대한 언급을 거절했지만 성명서에서 ""우리는 큰 계약 협상을 했다.","쇼의 제작자이자 제작자인 필 로젠탈은 성명서를 썼다 : ""우리는 큰 계약 협상을 했다.",2.1
2706,korsts_train,다시 권력을 되찾은 주 노동자들은 금요일 아침 그들의 직업으로 돌아갔다.,파타키는 만약 권력이 회복된다면 주 노동자들은 금요일 아침에 다시 일터로 돌아올 것이라고 말했다.,2.7
2709,korsts_train,"토요일, 국제 적십자 위원회는 바그다드와 바스라에 있는 사무실을 일시적으로 폐쇄하고 있다고 말했다.",이라크에서 활동하는 직원들의 안전을 염려한 적십자 국제위원회는 바그다드와 바스라에 임시로 사무실을 폐쇄한다고 발표했다.,2.9
