,sentence1,sentence2,labels.label
529,심한 신체 접촉이 이뤄지자 여성은 촬영장을 급하게 빠져나왔다.,"거부했지만 심한 신체접촉이 이어졌고, 결국 피해자는 촬영장을 급하게 빠져나왔습니다.",3.2
532,현재 이들 지역의 1시간 평균 초미세먼지 농도는 45㎍㎥이다.,"이들 지역의 1시간 평균 초미세먼지 농도는 북부권 103㎍㎥, 동부권 98㎍㎥이다.",3.2
534,애정운과 재물운이 좋은 날입니다.,학업운과 시험운이 좋은 날이에요.,2.6
535,커플인 경우에는 상대방에게 상처를 줄 수 있는 날입니다.,커플인 경우 상대방으로부터 좋은 선물을 받게 될 수 있는 날입니다.,2.8
537,23일 서울 서대문구 연세대학교 노천극장에서 열린 2018학년도 입학식에서 신입생들이 학생명예선언을 하고 있다.,20일 서울 송파구 잠실실내체육관에서 열린 숙명여대 2018 입학식에서 신입생들이 축하공연을 보고 있다.,1.8
538,상대방의 변심에 주의하는 것이 좋습니다.,상대방의 말은 끝까지 듣는 것이 좋습니다.,2.3
540,오는 5월 출시될 예정이다.,내년 1월께 출시될 예정이다.,3.0
541,(사)밀양연극촌 이윤택 이사장은 2014년부터 밀양연극촌 이사장직을 맡아 왔었다.,밀양연극촌 이사장은 최근 성폭력으로 비난에 휩싸인 연극연출가 이윤택 씨가 2014년부터 맡고 있다.,3.0
542,자신없는 일이나 잘 모르는 일은 피하는 것이 좋습니다.,자신의 일은 자신이 해결하는 것이 좋습니다.,2.6
545,2016년 기준 매출 784억원과 영업이익 65억원을 기록했다.,"2016년 기준 지니언스 매출액은 206억15000만원, 영업이익은 38억1100억원이다.",2.1
548,자세한 사항은 시 홈페이지 ·도시디자인과(031-481-2635) 로 문의.,자세한 사항은 도시안전과(2670-3065)에 문의할 수 있다.,3.0
550,무리한 부탁이나 청탁은 피하도록 하세요.,과한 욕심이나 무리한 일은 피하도록 하세요.,3.2
554,20일 새벽 디씨인사이드 연극·뮤지컬 갤러리에 '고발합니다'라는 제목의 글이 올라왔다.,25일 새벽 DC인사이드 갤러리에는 A씨의 전력을 폭로하는 글이 게재됐다.,2.0
557,준준결승에서 1위를 차지한 한국은 ‘최강 전력’ 네덜란드를 준결승에서 피했다.,준준결승에서 2위를 차지한 디펜딩 챔피언 네덜란드(3분40초03)는 결승 진출을 놓고 3위 노르웨이(3분40초09)와 대결한다.,1.9
562,[디지털타임스] 그라비티가 내달 중순 모바일 다중접속역할수행게임(MMORPG) '라그나로크M'을 국내 시장에 출시한다.,[디지털타임스] 펄어비스는 모바일 다중접속역할수행게임(MMORPG) '검은사막 모바일'을 28일 출시했다.,2.3
564,지나치게 사람을 믿지 마세요.,사람을 믿으려면 끝까지 믿도록 하세요.,3.2
571,따라서 내일 새벽에는 대설특보와 호우특보도 내려지겠습니다.,평창 평지와 횡성에는 내일 새벽 대설 예비특보도 내려져 있습니다.,2.0
572,"그러나 노 관장은 ""이혼하지 않는다.",그러나 노 관장은 이혼 반대 뜻을 드러내왔다.,3.1
576,경찰과 소방당국은 현장 정리를 마치는 대로 정확한 사고 원인을 조사할 계획이다.,경찰과 소방당국은 작업 인부들의 진술을 토대로 정확한 사고 원인을 조사 중이다.,2.9
580,자세한 사항은 보성군 홈페이지 및 총무과로 문의하면 된다.,자세한 사항은 인터넷 공식 홈페이지와 서비스센터 등으로 문의하면 된다.,2.3
581,주변 사람들에게 모범을 보여야 하는 시기입니다.,주변 사람들과의 약속을 잘 지키세요.,2.3
583,앞서 조사단은 지난 22일 A부장검사의 부산지검 사무실 등을 압수수색했다.,앞서 조사단은 지난 13일에는 법무부 검찰국을 압수수색하기도 했다.,1.8
584,휴식과 기분 전환이 필요한 날이에요.,가볍고 경쾌한 태도가 필요한 날이에요.,1.8
586,"""그래서 더 잘하려고 노력했다""며 소감을 밝혔다.","""그래서 더 책임감을 느낀다”고 말했다.",2.5
588,낙관적인 태도가 필요한 하루입니다.,매사에 철저한 준비가 필요한 하루입니다.,1.8
589,"대한민국 대표팀(이승훈,김민석,정재원)이 결승 진출 확정후 기뻐하고 있다.","대한민국 대표팀(이승훈,김민석,정재원)이 스타트하고 있다.",2.6
594,시작은 어려워도 결과가 좋은 하루에요.,새로운 일을 시작하기에 좋은 날이에요.,2.4
596,다른 사람과의 내기나 경쟁도 피하도록 하세요.,58년생 - 다른 사람과의 경쟁을 피하지 마세요.,2.8
607,대웅제약이 차기 대표이사로 윤재춘 대웅 대표이사 사장과 전승호 대웅제약 글로벌 사업본부장을 내정했다.,대웅제약도 글로벌화에 초점을 맞추고 43세인 전승호 글로벌사업본부장을 공동대표로 임명할 예정이다.,2.5
617,"아울러 VR, AR 콘텐츠 개발을 위해 50억원 규모의 펀드도 조성한다.",이를 위해 연내 50억원 규모의 펀드를 조성할 수 있을 것이라고 KT는 밝혔다.,1.9
619,당시 성추행 소문이 퍼지자 A 전 검사는 사표를 제출하고 대기업에 취업했다.,당시 검찰 내부에 소문이 퍼지자 A 전 검사는 사직서를 제출하고 검찰을 떠났다.,3.0
625,검은사막 모바일은 인기 PC 다중접속역할수행게임(MMORPG) 검은사막을 기반으로 한 모바일 게임이다.,팡야 모바일은 유명 PC온라인 게임 지식재산권(IP) '팡야'를 기반으로 한 모바일 게임이다.,2.7
627,밤사이 중부 내륙에는 산발적으로 눈이 날리거나 빗방울이 떨어지는 곳이 있겠다.,경북 동해안은 오전에 눈이 날리거나 약한 빗방울이 떨어지는 곳이 있겠다.,2.6
629,법안은 오는 7월 1일부터 3년간 한시적으로 시행된다.,임기는 2018년 7월 1일부터 3년이다.,1.8
631,또 유영민 과학기술정보통신부 장관 통신3사 COE 회동에도 참석한다.,유영민 과학기술정보통신부 장관.,2.0
635,오늘은 무언가를 새롭게 시작하기보다는 지금까지 해오던 일을 수정하고 보완하며 지내기에 적당합니다.,오늘은 무엇인가 새로운 느낌으로 새로운 일들을 시작하게 될 것 같습니다.,1.9
639,화웨이 스마트폰과 마찬가지로 지문 인식 기능을 가졌다.,삼성페이와 지문인식 기능이 장착됐다.,1.8
643,"옷은 새 옷이 좋고, 사람은 옛 사람이 좋아요.",“옷을 좋아하는 사람은 실제 성공한 사람들이 많아요.,2.2
644,검찰은 이 전 대통령에 14일 출석을 통보했다.,검찰은 자연인 신분이 된 박 전 대통령에게 같은 달 21일 출석을 통보했다.,1.9
652,PC방 시장 점유율도 40%를 돌파하며 1위를 이어가고 있다.,카카오 배틀그라운드는 PC방 시장 점유율도 40%를 넘기며 1위를 달리고 있다.,3.2
655,이 불로 2층짜리 경량철골조 건물 일부가 탔지만 다행히 인명피해는 없었습니다.,이 사고로 건물 벽 일부가 훼손됐으나 인명피해는 없었다.,2.5
658,22일 충북 지역은 대체로 맑다가 오후 늦게 북부 지역부터 눈이 내리겠다.,25일 대전·충남지역은 오전에 구름이 많고 오후에 대체로 맑겠다.,1.9
660,"전주기상지청 관계자는 ""당분간 기온이 올라 포근하겠으나 일교차가 크겠으니 건강관리에 유의해야 한다""고 말했다.","기상지청 관계자는 ""오늘까지 평년보다 기온이 낮아 건강관리에 주의가 필요하다""고 말했다.",2.8
671,경찰 관계자는 “피해 사례가 더 있을 것으로 보고 여죄를 조사하고 있다”고 말했다.,경찰은 비슷한 피해를 본 외국인이 더 있을 것으로 보고 수사를 확대하고 있다.,2.8
675,그러나 미국에서만큼은 사뭇 다르다.,그러나 현실은 다르다.,2.0
686,사람을 믿으려면 끝까지 믿도록 하세요.,사람을 잘 가려서 만나도록 하세요.,2.3
690,모집 대상은 30명이다.,모집인원은 선착순 20명이다.,2.6
691,적당히 속도 조절을 하는 것이 좋습니다.,적당한 선에서 자신의 지출을 컨트롤 할 수 있도록 하는 것이 좋겠습니다.,2.0
695,주변 사람들의 인정도 받으니 금상첨화가 될 것입니다.,주변 사람들과 나눈다면 기쁨이 배가 될 것입니다.,2.3
702,2004년 겸임 교수로 청주대 강단에 섰던 조씨는 2010년 조교수로 임용됐다.,2010년 이 대학 연극학과 조교수로 부임한 A씨는 8년째 강단에 섰습니다.,1.9
708,돈과 연관된 일들이 잘 풀리는 날입니다.,하는 일마다 아주 잘 풀리게 되는 날입니다.,2.7
717,오는 4월 글로벌 시장에 출시되며 가격은 749유로(약 99만원)다.,오는 5월부터 판매되며 가격은 79유로(약 10만4000원)이다.,3.1
721,매사에 조심하면 지내는 것이 좋은 하루에요.,매사에 속전속결하는 것이 좋습니다.,1.9
722,작은 것을 취하는 것이 좋은 날이에요.,오늘은 양보하는 것이 좋은 날입니다.,2.4
728,선생님이나 손윗사람의 인정을 받게 되는 시기입니다.,사람들에게 인정을 받고 명예와 재물을 얻게 되는 시기입니다.,2.0
732,"낮 기온은 영서 7∼9도, 영동 8∼10도로 평년과 비슷하거나 다소 높겠다.",낮 최고기온은 5∼9도로 평년 기온과 비슷한 수준을 보이겠다.,2.9
736,노력하는 자만이 행운을 움켜쥘 수 있을 거예요.,노력하는 모습을 보여야 합니다.,2.4
751,자신의 실수나 잘못이 있다면 깨끗이 인정하세요.,자신의 잘못이 있었던 것은 아닌지 기억을 헤집었다.,2.0
763,공단은 2010년부터 TS희망봉사단을 조직해 자동차사고 피해가정에 정서적 지원을 제공하고 있다.,한국교통안전공단은 대전 라온컨벤션에서 자동차사고 피해가정 지원을 위한 'TS희망봉사단 발대식'을 했다고 24일 밝혔다.,1.9
764,2차 피해 방지대책을 강화한다.,2차 피해 여부와 재발방지대책 등을 집중 점검할 예정입니다.의 보도입니다.,2.1
766,작은 변화도 놓치지 않는 것이 좋습니다.,새로운 변화는 서서히 추진하는 것이 좋습니다.,2.3
768,조그만 선물이나 이벤트를 준비하세요.,특별한 선물이나 특별한 이벤트를 경험하게 될 수도 있습니다.,2.8
776,해경은 나머지 한명에 대한 신원확인을 진행하고 있다.,해경은 나머지 선원 5명을 찾기위해 수색을 계속하고 있다.,2.4
777,22일 중부 지방은 밤부터 흐려져 서울·경기·강원 영서·충청 북부에서 곳에 따라 눈이 내리겠다.,22일 충북 지역은 대체로 맑다가 오후 늦게 북부 지역부터 눈이 내리겠다.,3.1
784,서울의 경우 낮 최고 7도까지 오르겠고 남부지방은 10도를 웃도는 곳이 많겠다.,"서울은 최고 10도, 대구와 창원은 11도, 광주는 15도까지 올라 일교차가 크겠습니다.",2.1
786,"관람 시간은 평일 오전 9시∼오후 8시, 토·일·공휴일은 오전 9시∼오후 6시(3월부터는 오후 7시)까지다.",운영 시간은 평일 오전 9시 30분부터 오후 6시 30분까지다.,2.5
789,스트레스가 늘어나지만 얻는 것도 많을 것입니다.,주위에 베푼 만큼 얻는 것도 많을 것입니다.,2.2
791,예상강수량은 제주도에 5~20㎜이며 제주도 산지 인근에는 1~3㎝의 눈이 쌓이겠다.,"예상 강수량은 강원 영동·전남·영남·제주에서 5~20㎜, 제주 산지 10~40㎜, 서울·경기·강원 영서·충청·전북 5㎜ 안팎이다.",2.5
795,토요일인 24일 충북은 가끔 구름이 많겠으나 기온은 평년보다 높아 포근하겠다.,토요일인 내일(24일)은 포근한 날씨가 예상됩니다.,2.5
813,이번 시연회에 참가하는 로봇의 상대는 춘천기계공고 소속 강원도 고등부 컬링팀이다.,"이번 시연회는 인공지능 컬링로봇과 춘천기계공고 팀의 2엔드 경기로 진행됐고, 인간이 3대0으로 승리했다.",1.9
815,"A가 비례 원리를 어겨서인가, 보편 원리를 어겨서인가?","일베의 눈에, 다들 비례 원리를 어겼다.",1.9
820,평창 동계올림픽이 열리는 대관령과 강릉의 최저기온은 각각 -4도와 2도로 예보됐다.,올림픽이 열리는 평창과 강릉도 맑겠고 평창 산악지역은 체감온도 -10도에 달하겠습니다.,2.7
821,객장(오프라인 매장)을 활용한 서비스도 준비중이다.,또한 객장을 활용한 가상화폐 관련 서비스도 준비 중이다.,2.5
829,당신의 실력과 재주를 너무 과신하지 마세요.,당신의 실력과 재능을 마음껏 발휘해 보도록 하세요.,2.8
844,무조건 밀고 나가는 것이 좋은 날입니다.,나서기 보다는 관망하는 것이 좋은 날입니다.,2.7
869,서해상과 동해상에 바람이 강하게 불 것으로 전망되고 서해상에는 돌풍·천둥·번개가 치는 곳이 있겠다.,"서해안과 동해안, 강원도 산지는 바람이 강하게 불 전망이므로 시설물 관리에 유의해야 합니다.",2.2
876,"조씨는 징계가 내려지자 사표를 냈으며, 청주대는 20일 사표를 수리하고 면직 조처(2월28일자)했다.",청주대는 조씨의 사표를 수리하고 면직절차를 밟고 있다.,2.8
882,정부에 대해서도 “군산조선소 가동 중단과 한국GM 군산공장 폐쇄에 책임이 있다”고 강조했다.,정부는 한국GM 군산공장 폐쇄에 따른 범정부적 TF 구성에 나설 계획이다.,1.8
883,“성폭력 사건은 무엇보다 피해자가 느끼는 성적 수치심이 중요하다.,“성폭력 사건은 피해자가 드러내기 전에는 알 수 없다.,2.2
888,무엇이든 함께 해야 결과가 좋을 거에요.,"무엇이든, 과하면 좋지 않습니다.",2.3
890,빈소는 신촌세브란스병원 장례식장 17호에 마련됐으며 발인은 23일 오전 7시다.,김 회장의 빈소는 신촌세브란스병원 장례식장에 마련됐으며 발인은 오는 8일 오전 8시 30분이다.,2.9
903,이후 C씨는 정신과 치료를 받으며 피폐한 삶을 살아야 했다.,정신과 치료를 받고 있다.,2.0
905,평가는 국민권익위가 전국 243개 광역·기초 지방자치단체를 대상으로 실시했다.,"행정안전부와 국민권익위원회의 평가는 전국 지자체와 중앙행정기관, 시·도교육청 등 302개 기관을 대상으로 진행됐다.",2.4
914,GGGI 의장 임기는 2년이며 연임도 가능하다.,"임기는 2년이며, 1회 연임이 가능하다.",3.0
919,어려움이 사라지고 좋은 기회가 찾아오는 때입니다.,좋은 기회가 찾아오니 주위를 잘 살피도록 하세요.,2.5
920,이날 군산 미세먼지 농도는 '나쁨' 단계를 보이고 있다.,이날 미세먼지 농도는 전 권역에서 ‘보통’ 수준을 보이리라고 예보됐다.,2.4
925,"2021년 전체 데이터센터 워크로드는 2016년 대비 2.3배 증가하며, 클라우드 워크로드는 2.7배 늘어난다.",2020년까지 백본망이 2017년 대비 9배 증가한다고 예측했다.,1.8
926,말하지 않으려 했습니다.,말하지 않으면서 더 크게 말하는 수도 있는 법이다.,2.5
927,싱글인 분의 경우라면 조금은 색다른 사람이 나타날 확률이 높습니다.,싱글이라면 당신의 외로움을 달래줄 사람이 금세 나타나지 않습니다.,2.2
933,김소남 전 의원은 2008년 비례대표 공천을 받았습니다.,김 전 의원은 비례대표 7번을 받고 당선됐습니다.,2.8
936,1월28일 전남 완도군 청산도 인근 해역에서 침몰한 어선의 승선원 2명이 숨진채 발견됐다.,완도해양경찰서 제공 전남 완도군 청산도 인근 해상에서 어선이 뒤집힌 채 발견됐다.,2.6
937,있는 듯 없는 듯 조용히 지내야 하는 시기입니다.,몸을 낮추고 조용히 지내야 하는 시기입니다.,2.8
941,모든 일을 의욕만으로 해결할 수 없습니다.,혼자서 모든 것을 해결할 수 없다.,3.0
946,사람이든 일이든 첫 단추를 잘 꿰도록 하세요.,사람을 잘 가려서 만나도록 하세요.,1.9
958,꿈꾸는 아이들의 학교 제공 -대안학교에서는 공교육에서의 입시교육이 전혀 이뤄지지 않습니까.,‘꿈꾸는 아이들의 학교’에서는 시험을 보기 위한 교과 위주의 학습은 없습니다.,1.8
959,"지역별 아침기온은 서울·인천 -2도, 수원 -4도, 청주·전주 -3도, 대구·광주 -1도 등이다.","기온은 아침에 서울 1도, 춘천 영하 3도, 대구가 영하 1도까지 내려가겠고요.",2.5
961,욕심을 부리면 오히려 가진 것도 잃을 수 있어요.,남을 챙기다가 당신의 것을 잃을 수도 있어요.,2.3
963,중요한 일을 맡거나 승진을 할 수도 있어요.,67년생 - 중요한 일을 맡게 되거나 책임이 무거워지는 시기입니다.,2.0
976,아시아 선수 최초이자 역대 3번째 3개 대회 연속 메달을 목에 걸었다.,아시아 최초 스피드 스케이팅에서 4개 메달을 딴 선수로도 이름을 올렸다.,1.9
984,밀양시는 19일 오후 시내 부북면 가산리 사단법인 밀양연극촌에 무료임대계약 해지를 통보했다고 밝혔다.,밀양시는 이윤택 전 감독이 운영해온 밀양연극촌에 대해 최근 계약 해지를 통보했다.,2.2
988,→현대중 군산조선소 조업 중단과 GM 군산공장 폐쇄가 지역경제에 미치는 영향은.,정부에 대해서도 “군산조선소 가동 중단과 한국GM 군산공장 폐쇄에 책임이 있다”고 강조했다.,2.0
989,강수량은 평년(77.4∼115.4㎜)과 비슷하거나 적겠다.,강수량 또한 평년값(각각 35.9∼111.3㎜·42.5∼98.7㎜)과 비슷한 수준을 나타내겠다.,3.2
992,유 회장의 임기는 2021년 2월까지다.,임기는 2020년 2월까지 2년이다.,2.8
1000,신제품 기능을 기존 제품에 출시와 동시에 업데이트하는 것은 매우 이례적이다.,기존 제품에서도 신제품의 새로운 기능을 사용할 수 있도록 업그레이드 버전이 제공된다.,2.0
1001,단순히 사전예약에 그치지 않고 신청자들에게 재미와 즐거움을 제공한다는 계획이다.,사전예약 신청자들을 위한 별도의 이벤트도 마련돼 있다.,1.8
1002,검찰은 다음 달 초 그를 피의자로 불러 조사하는 방안을 유력하게 검토 중이다.,검찰은 이명박 전 대통령 사위와 대질 조사도 검토 중이라고 합니다.,1.8
1005,바깥 활동이나 모임을 갖는 것도 좋을 거예요.,“모임을 갖거나 미팅하기에 좋은 날입니다.,2.4
1020,구글 안드로이드와 애플 iOS 버전을 모두 출시한다는 것.,애플 iOS 버전도 상반기 중 선보인다.,2.0
1021,"강수량은 경기 동부와 강원 영서에 5㎜ 내외, 나머지 지역에는 5㎜ 미만으로 예측됐다.",강수량은 대부분 지역에서 평년(1∼5㎜)보다 비슷하거나 조금 많겠으나 서울·경기·강원영서는 평년보다 적겠다.,2.0
1022,시는 밀양연극촌 위·수탁 계약에 따라 무료임대계약 해지 사유가 충분하다고 설명했다.,밀양연극촌도 밀양시의 무료 임대계약 해지 통보와 함께 해체 수순을 밟을 것으로 알려졌다.,2.1
1024,제주도에는 오전까지 5㎜가량 비가 내릴 전망이다.,제주도에는 비가 내리고 있는데요.,2.7
1027,위험 회피 편향은 보편 원리에 대한 지지로 이어지기 쉽다.,인간에게는 위험 회피 편향도 있다.,1.8
1031,화가 나는 일이 있어도 참는 것이 좋습니다.,44년생 화가 나도 참는 것이 상책이다.,2.8
1036,박 전 대통령이 받고 있는 혐의를 조목조목 부인할 것으로 관측된다.,박 전 대통령에 대해 묻자 오히려 취재진에게 되물으며 의혹을 부인했습니다.,1.9
1037,규칙안에 따르면 법관대표회의는 117명으로 구성된다.,법관대표회의의 구성원은 각 법원에서 선출한 판사대표 총 117명으로 구성한다.,2.7
1042,깔때기 키워드는 ‘희망’이었다.,그래서 담론이 모여드는 깔때기 키워드는 ‘역차별’이었다.,2.0
1058,사용하던 스마트폰을 반납하면 중고 시세에 최대 10만원을 더 얹어 보상해주는 프로그램이다.,갤럭시S9 시리즈 구매자가 쓰던 단말기를 반납할 경우 중고 시세보다 10만원을 얹어 준다.,3.1
1060,밀양연극촌은 20년째 이 자리를 지켜왔으며 최근 임대계약도 2019년 11월 25일까지로 돼 있다.,20년 간 자리를 지켜온 밀양연극촌이 문을 닫는 셈이다.,1.8
1065,강원도감자종자진흥원의 올봄 전국 씨감자공급량은 5132톤.,강원도내에 공급되는 올봄 씨감자 공급량도 1710톤으로 지난해 보다 4.8% 감소한 1796톤이 공급된다.,2.2
1067,해당 공연 티켓은 멜론 티켓에서 20일 낮 12시부터 구매할 수 있다.,‘대학로 릴레이 콘서트’의 티켓은 인터파크와 멜론티켓을 통해 예매할 수 있습니다.,1.9
1070,[헤럴드경제=이슈섹션] 중견배우이자 명지전문대학 부교수인 최용민이 성추행 의혹에 휩싸였다.,최용민 [헤럴드경제 스타&컬처팀] 연극배우 최용민이 성추행 의혹을 인정하고 사과했다.,2.0
1075,“기회는 평등할 것입니다.,행동하면 새로운 기회를 얻을 수 있을 것입니다.,1.9
1080,두 지역 모두 전날보다 1도가량 낮겠다.,내일 아침 기온 오늘보다 1도에서 3도가량 낮겠습니다.,2.5
1082,카카오 관계자는 “ICO 등 구체적인 사업 계획은 세부적으로 정해진 바 없다”고 설명했다.,카카오블록체인이 어떤 사업을 전개할지는 구체적으로 알려지지 않았다.,2.1
1084,정재웅이 기록을 확인하고 있다.,정재웅이 역주하고 있다.,2.6
1094,선정 작품은 심사를 거쳐 4월 초에 발표된다.,선정 결과는 오는 8월 홈페이지를 통해 발표된다.,2.1
1100,현지 모델들이 KT(위쪽)와 SK텔레콤의 출품 서비스를 소개하고 있다.,SK텔레콤 모델들이 홀로박스를 소개하고 있다.,2.3
1103,검은사막 모바일은 서비스 하루 만에 구글플레이 매출 5위에 올랐다.,애플 앱스토어 매출 1위에 오른 검은사막 모바일.,1.9
1110,7일 배현진이 MBC에 사직서를 제출한 소식이 알려졌다.,MBC에 사직서를 제출한 배현진 앵커가 정치계에 입문한다.,2.5
1123,‘무약정 플랜’은 지급받은 포인트를 요금이나 단말대금 납부에 사용 가능 제도다.,적립된 포인트는 요금 또는 단말 할부원금(최대 5만원) 납부에 사용할 수 있다.,2.3
1126,그 외에도 통화를 50분까지 제공하며 문자도 무제한이다.,200MB 데이터와 음성통화 50분을 제공한다.,1.8
1133,일의 경중과 우선순위를 잘 따져서 움직이세요.,95년생 - 일의 경중과 우선순위를 잘 따져야 할 때입니다.,2.7
1141,바깥 일은 순조로우나 안이 시끄러울 수 있어요.,바깥 일은 바깥에서 처리하는 것이 좋습니다.,2.0
1143,꾸준하고 일관성있는 모습을 보여야 하는 시기입니다.,주변 사람들에게 모범을 보여야 하는 시기입니다.,2.0
1145,갑자기 목돈이 필요하거나 지출이 늘어날 수 있어요.,친구나 동료와 어울려 지출이 늘어날 수 있어요.,2.1
1149,나가는 만큼 들어오는 것도 많을 거예요.,주위에 베푼 만큼 얻는 것도 많을 것입니다.,1.9
1197,경찰은 질본 역학조사 결과에 따라 교수 2명을 추가 입건하기로 했다.,경찰은 의사 2명을 추가 입건할 방침이다.,2.5
1202,수입된 백신은 식품의약품안전처의 국가검정이 완료되면 민간의료기관으로 공급된다.,식품의약품안전처 국가검정을 마쳐야 민간 의료기관에 보급될 수 있기 때문이다.,3.1
1203,이후 소셜미디어에서 이 연출에게 성추행을 당했다는 폭로가 잇따랐고 성폭행이 있었다는 주장도 나왔다.,스스로는 성추행이었다고 했으나 “성폭행을 당했다”는 주장도 나왔다.,2.7
1205,특히 전국적으로 대기가 바짝 마른 날들이 연일 이어지고 있다.,전국적으로 건조특보가 이어지고 있습니다.,2.2
1207,겸손하면 겸손할수록 행운이 따를 것입니다.,강한 행운도 따르니 즐거움이 이어질 것입니다.,2.1
1208,화웨이는 25일(현지시간) 스페인 바르셀로나 국제컨벤션센터에서 프레스 컨퍼런스를 열고 메이트북X프로와 미디어패드M5 시리즈를 소개했다.,25일(현지시각) 화웨이는 스페인 바르셀로나 바르셀로나 컨벤션센터(CCIB)에서 프레스 컨퍼런스를 개최했다.,2.3
1210,이씨는 그러나 안마와 발성연습을 빙자한 성추행만 인정하고 성폭행 의혹은 사실이 아니라고 부인했다.,"이감독은 회견을 열어 성추행 사실을 인정하고 피해자들에게 공개사과했지만 “성폭행은 인정할 수 없다.""고 말했다",1.9
1212,"A씨는 경찰에서 ""구매 대금으로 받은 돈은 채무변제와 생활비에 썼다""고 진술했다.","A씨는 경찰조사에서 ""생활비가 부족해 범행을 저질렀다""고 진술한 것으로 전해졌다.",2.3
1213,애정 문제도 발생하기 쉬우니 주의하는 것이 좋습니다.,애정은 신중하게 문제에 대처하는 것이 좋다.,2.7
1214,이날 일평균 미세먼지 농도는 '보통'을 나타내겠다.,이날 대기 확산이 원활해면서 일평균 미세먼지 농도는 모든 지역에서 '보통' 수준을 보이겠다.,3.1
1216,"검찰은 조사한 뒤, 구속영장 청구 여부를 최종 결정할 계획입니다.",검찰은 보강 수사를 거쳐 영장을 재청구할지를 결정할 방침이다.,3.2
1218,이소라를 모델로 내세워 디자인과 기능성을 갖춘 LBL SPORT 시그니처 트랙수트 3종(11만9천원)을 내놓는다.,론칭 방송은 디자인과 기능성을 모두 갖춘 'LBL SPORT 시그니처 트랙수트 3종(11만9000원)'을 판매한다.,3.0
1219,이 글은 현재 1천500여 명의 지지를 받으며 인터넷 상에서 공유되고 있다.,이 청원에는 현재 1천500명 가량이 찬성 의견을 표시하고 있다.,2.4
1222,SK텔레콤은 기존 키즈폰 사용자를 위해서 특별한 혜택을 마련했다.,기존 키즈폰 고객을 위해선 할인 혜택을 마련했다.,3.2
1225,LG전자는 기존 V30 고객도 즐길 수 있도록 소프트웨어 업데이트를 진행한다.,기존 V30 이용고객은 소프트웨어 업그레이드를 통해 공감형 AI를 이용할 수 있다.,2.4
1227,얼굴 근육은 포유류 중에서도 가장 사교적인 영장류에서 가장 발달했다.,포유류 중에서 가장 표정이 풍부하다.,1.8
1228,역지사지의 자세로 상대방의 입장에서 생각하세요.,상대방에 입장에서 생각하고 말해야 합니다.,2.8
1229,자다가도 떡이 생길 것입니다.,어른 말을 들으면 자다가도 떡이 생길 거에요.,3.0
1232,더불어민주당 간사인 홍익표 의원이 21일 국회에서 열린 산업통상자원중소벤처기업위원회 전체회의를 주재하고 있다.,자유한국당 김정훈 의원이 21일 국회에서 열린 산업통상자원중소벤처기업위원회 전체회의에서 질의하고 있다.,3.0
1235,이를 위해 올해 예산에 18억5760만원을 짜둔 상태다.,이를 위해 시는 올해 20억6200만원의 추경예산을 편성했다.,2.7
1238,한편 A씨 외에 또다른 유명 연극연출가의 성추행 의혹도 제기됐다.,한편 A씨는 웹툰 작가 B씨의 폭로로 성추행 의혹을 받고 있다.,2.0
1239,6일 오후 서울 은평구 은혜초등학교 운동장에서 한 학생이 뛰어놀고 있다.,6일 오후 서울 마포구 월드컵공원에 마련된 반려견 놀이터에서 반려견들이 뛰어놀고 있다.,2.2
1243,"고문헌에 관심 있는 사람은 누구나 참가할 수 있으며, 수강료는 무료다.",자연과 과학에 관심이 있는 사람이라면 누구나 참여가 가능하다.,1.8
1245,경부고속도로 서울 방향은 옥산하이패스나들목→목천나들목 21.3㎞ 구간에서만 차량이 서행한다.,서해안고속도로 서울방향은 일직분기점→금천나들목 3.8㎞ 구간에서 차량이 거북이걸음을 하고 있다.,2.5
1250,매주 금요일 아침 8시 30분부터 9시 30분까지 방송된다.,오전 8시 30분부터 오후 5시 30분까지 운영한다.,2.5
1255,부산 동래경찰서는 현주건조물방화 혐의로 백모(63) 씨를 구속했다고 2일 밝혔다.,부산 동부경찰서는 강도 등 혐의로 최모(31)씨를 구속했다고 5일 밝혔다.,2.7
1276,다른 사람과의 경쟁은 피하는 것이 좋습니다.,다른 사람의 입에 오르내릴 만한 일은 피하는 것이 좋습니다.,2.5
1283,"앉아서 기다리기 보다는, 먼저 나서는 것이 좋습니다.",인내하면서 기다리는 것이 좋습니다.,2.1
1285,이날 강원 지역의 미세먼지 일평균 농도는 '보통'으로 예보됐다.,이날 대기 확산이 원활해면서 일평균 미세먼지 농도는 모든 지역에서 '보통' 수준을 보이겠다.,2.8
1292,충남 공주경찰서는 23일 사기 혐의로 A(27) 씨를 구속했다.,부산 동래경찰서는 사기방조 등 혐의로 A(22)씨를 구속하고 B(23)씨를 불구속 입건했다고 25일 밝혔다.,1.8
1306,수요일인 21일은 전국이 가끔 구름이 많고 전날보다 기온이 다소 내려가겠다.,월요일인 26일은 전국이 대체로 맑고 평년보다 기온이 올라 포근할 전망이다.,2.7
1311,엄씨는 지난 27일 방송된 JTBC '뉴스룸'의 인터뷰를 응했다.,김씨는 지난 1일 방송된 JTBC '뉴스룸'에 출연해 손석희 앵커와 대화를 나눴다.,2.2
1314,매사에 확인과 점검을 철저히 하는 것이 좋습니다.,매사에 속전속결하는 것이 좋습니다.,2.1
